ID,Title,published_on,Solved_By
problem=1,Multiples of 3 and 5,"Published on Friday, 5th October 2001, 06:00 pm",829881
problem=2,Even Fibonacci numbers,"Published on Friday, 19th October 2001, 06:00 pm",663512
problem=3,Largest prime factor,"Published on Friday, 2nd November 2001, 06:00 pm",474011
problem=4,Largest palindrome product,"Published on Friday, 16th November 2001, 06:00 pm",420185
problem=5,Smallest multiple,"Published on Friday, 30th November 2001, 06:00 pm",427162
problem=6,Sum square difference,"Published on Friday, 14th December 2001, 06:00 pm",429839
problem=7,10001st prime,"Published on Friday, 28th December 2001, 06:00 pm",367448
problem=8,Largest product in a series,"Published on Friday, 11th January 2002, 06:00 pm",308459
problem=9,Special Pythagorean triplet,"Published on Friday, 25th January 2002, 06:00 pm",312568
problem=10,Summation of primes,"Published on Friday, 8th February 2002, 06:00 pm",286181
problem=11,Largest product in a grid,"Published on Friday, 22nd February 2002, 06:00 pm",206281
problem=12,Highly divisible triangular number,"Published on Friday, 8th March 2002, 06:00 pm",193349
problem=13,Large sum,"Published on Friday, 22nd March 2002, 06:00 pm",198798
problem=14,Longest Collatz sequence,"Published on Friday, 5th April 2002, 06:00 pm",198623
problem=15,Lattice paths,"Published on Friday, 19th April 2002, 06:00 pm",163991
problem=16,Power digit sum,"Published on Friday, 3rd May 2002, 06:00 pm",200743
problem=17,Number letter counts,"Published on Friday, 17th May 2002, 06:00 pm",132994
problem=18,Maximum path sum I,"Published on Friday, 31st May 2002, 06:00 pm",127548
problem=19,Counting Sundays,"Published on Friday, 14th June 2002, 06:00 pm",118717
problem=20,Factorial digit sum,"Published on Friday, 21st June 2002, 06:00 pm",174956
problem=21,Amicable numbers,"Published on Friday, 5th July 2002, 06:00 pm",128277
problem=22,Names scores,"Published on Friday, 19th July 2002, 06:00 pm",118164
problem=23,Non-abundant sums,"Published on Friday, 2nd August 2002, 06:00 pm",91004
problem=24,Lexicographic permutations,"Published on Friday, 16th August 2002, 06:00 pm",100944
problem=25,1000-digit Fibonacci number,"Published on Friday, 30th August 2002, 06:00 pm",136869
problem=26,Reciprocal cycles,"Published on Friday, 13th September 2002, 06:00 pm",73379
problem=27,Quadratic primes,"Published on Friday, 27th September 2002, 06:00 pm",76464
problem=28,Number spiral diagonals,"Published on Friday, 11th October 2002, 06:00 pm",95907
problem=29,Distinct powers,"Published on Friday, 25th October 2002, 06:00 pm",92082
problem=30,Digit fifth powers,"Published on Friday, 8th November 2002, 06:00 pm",96442
problem=31,Coin sums,"Published on Friday, 22nd November 2002, 06:00 pm",74072
problem=32,Pandigital products,"Published on Friday, 6th December 2002, 06:00 pm",62108
problem=33,Digit cancelling fractions,"Published on Friday, 20th December 2002, 06:00 pm",62761
problem=34,Digit factorials,"Published on Friday, 3rd January 2003, 06:00 pm",82730
problem=35,Circular primes,"Published on Friday, 17th January 2003, 06:00 pm",74430
problem=36,Double-base palindromes,"Published on Friday, 31st January 2003, 06:00 pm",78414
problem=37,Truncatable primes,"Published on Friday, 14th February 2003, 06:00 pm",64426
problem=38,Pandigital multiples,"Published on Friday, 28th February 2003, 06:00 pm",54935
problem=39,Integer right triangles,"Published on Friday, 14th March 2003, 06:00 pm",63952
problem=40,Champernowne's constant,"Published on Friday, 28th March 2003, 06:00 pm",70324
problem=41,Pandigital prime,"Published on Friday, 11th April 2003, 06:00 pm",59535
problem=42,Coded triangle numbers,"Published on Friday, 25th April 2003, 06:00 pm",65485
problem=43,Sub-string divisibility,"Published on Friday, 9th May 2003, 06:00 pm",51985
problem=44,Pentagon numbers,"Published on Friday, 23rd May 2003, 06:00 pm",50587
problem=45,"Triangular, pentagonal, and hexagonal","Published on Friday, 6th June 2003, 06:00 pm",62474
problem=46,Goldbach's other conjecture,"Published on Friday, 20th June 2003, 06:00 pm",53432
problem=47,Distinct primes factors,"Published on Friday, 4th July 2003, 06:00 pm",50397
problem=48,Self powers,"Published on Friday, 18th July 2003, 06:00 pm",99871
problem=49,Prime permutations,"Published on Friday, 1st August 2003, 06:00 pm",50434
problem=50,Consecutive prime sum,"Published on Friday, 15th August 2003, 06:00 pm",54317
